ano;regiao;uf;local_obito;faixa_etaria;sexo;quant_obitos;quant_populacao
2020;Centro-Oeste;DF;HOSPITAL;80 - 89;F;374;3094325
2020;Centro-Oeste;DF;HOSPITAL;80 - 89;M;453;3094325
2020;Centro-Oeste;DF;HOSPITAL;90 - 99;F;189;3094325
2020;Centro-Oeste;DF;HOSPITAL;90 - 99;M;165;3094325
2020;Centro-Oeste;DF;HOSPITAL;< 9;F;3;3094325
2020;Centro-Oeste;DF;HOSPITAL;< 9;M;2;3094325
2020;Centro-Oeste;DF;HOSPITAL;> 100;F;15;3094325
2020;Centro-Oeste;DF;HOSPITAL;> 100;M;16;3094325
2020;Centro-Oeste;DF;HOSPITAL;N/I;F;4;3094325
2020;Centro-Oeste;DF;HOSPITAL;N/I;M;2;3094325
2020;Centro-Oeste;DF;OUTRO;20 - 29;M;1;3094325
2020;Centro-Oeste;DF;OUTRO;30 - 39;M;1;3094325
2020;Centro-Oeste;DF;OUTRO;40 - 49;F;1;3094325
2020;Centro-Oeste;DF;OUTRO;40 - 49;M;3;3094325
2020;Centro-Oeste;DF;OUTRO;50 - 59;F;4;3094325
2020;Centro-Oeste;DF;OUTRO;50 - 59;M;6;3094325
2020;Centro-Oeste;DF;OUTRO;60 - 69;F;10;3094325
2020;Centro-Oeste;DF;OUTRO;60 - 69;M;3;3094325
2020;Centro-Oeste;DF;OUTRO;70 - 79;F;6;3094325
2020;Centro-Oeste;DF;OUTRO;70 - 79;M;5;3094325
2020;Centro-Oeste;DF;OUTRO;80 - 89;F;6;3094325
2020;Centro-Oeste;DF;OUTRO;80 - 89;M;5;3094325
2020;Centro-Oeste;DF;OUTRO;90 - 99;F;5;3094325
2020;Centro-Oeste;DF;OUTRO;90 - 99;M;3;3094325
2020;Centro-Oeste;DF;OUTRO;> 100;M;1;3094325
2020;Centro-Oeste;DF;OUTRO;N/I;F;1;3094325
2020;Centro-Oeste;DF;OUTROS_SERVICOS_SAUDE;10 - 19;M;1;3094325
2020;Centro-Oeste;DF;OUTROS_SERVICOS_SAUDE;20 - 29;F;1;3094325
2020;Centro-Oeste;DF;OUTROS_SERVICOS_SAUDE;30 - 39;F;3;3094325
2020;Centro-Oeste;DF;OUTROS_SERVICOS_SAUDE;30 - 39;M;4;3094325
2020;Centro-Oeste;DF;OUTROS_SERVICOS_SAUDE;40 - 49;F;4;3094325
2020;Centro-Oeste;DF;OUTROS_SERVICOS_SAUDE;40 - 49;M;6;3094325
2020;Centro-Oeste;DF;OUTROS_SERVICOS_SAUDE;50 - 59;F;7;3094325
2020;Centro-Oeste;DF;OUTROS_SERVICOS_SAUDE;50 - 59;M;5;3094325
2020;Centro-Oeste;DF;OUTROS_SERVICOS_SAUDE;60 - 69;F;2;3094325
2020;Centro-Oeste;DF;OUTROS_SERVICOS_SAUDE;60 - 69;M;18;3094325
2020;Centro-Oeste;DF;OUTROS_SERVICOS_SAUDE;70 - 79;F;8;3094325
2020;Centro-Oeste;DF;OUTROS_SERVICOS_SAUDE;70 - 79;M;10;3094325
2020;Centro-Oeste;DF;OUTROS_SERVICOS_SAUDE;80 - 89;F;7;3094325
2020;Centro-Oeste;DF;OUTROS_SERVICOS_SAUDE;80 - 89;M;17;3094325
2020;Centro-Oeste;DF;OUTROS_SERVICOS_SAUDE;90 - 99;F;10;3094325
2020;Centro-Oeste;DF;OUTROS_SERVICOS_SAUDE;90 - 99;M;4;3094325
2020;Centro-Oeste;DF;OUTROS_SERVICOS_SAUDE;> 100;F;1;3094325
2020;Centro-Oeste;DF;VIA_PUBLICA;40 - 49;M;1;3094325
2020;Centro-Oeste;DF;VIA_PUBLICA;50 - 59;F;1;3094325
2020;Centro-Oeste;DF;VIA_PUBLICA;60 - 69;M;1;3094325
2020;Centro-Oeste;GO;DOMICILIO;30 - 39;F;3;7206589
2020;Centro-Oeste;GO;DOMICILIO;30 - 39;M;2;7206589
2020;Centro-Oeste;GO;DOMICILIO;40 - 49;F;2;7206589
2020;Centro-Oeste;GO;DOMICILIO;40 - 49;M;7;7206589
2020;Centro-Oeste;GO;DOMICILIO;50 - 59;F;8;7206589
2020;Centro-Oeste;GO;DOMICILIO;50 - 59;M;9;7206589
2020;Centro-Oeste;GO;DOMICILIO;60 - 69;F;6;7206589
2020;Centro-Oeste;GO;DOMICILIO;60 - 69;M;14;7206589
2020;Centro-Oeste;GO;DOMICILIO;70 - 79;F;16;7206589
2020;Centro-Oeste;GO;DOMICILIO;70 - 79;M;24;7206589
2020;Centro-Oeste;GO;DOMICILIO;80 - 89;F;22;7206589
2020;Centro-Oeste;GO;DOMICILIO;80 - 89;M;29;7206589
2020;Centro-Oeste;GO;DOMICILIO;90 - 99;F;20;7206589
2020;Centro-Oeste;GO;DOMICILIO;90 - 99;M;8;7206589
2020;Centro-Oeste;GO;DOMICILIO;> 100;F;4;7206589
2020;Centro-Oeste;GO;DOMICILIO;> 100;M;3;7206589
2020;Centro-Oeste;GO;DOMICILIO;N/I;F;1;7206589
2020;Centro-Oeste;GO;HOSPITAL;10 - 19;F;4;7206589
2020;Centro-Oeste;GO;HOSPITAL;10 - 19;M;4;7206589
2020;Centro-Oeste;GO;HOSPITAL;20 - 29;F;26;7206589
2020;Centro-Oeste;GO;HOSPITAL;20 - 29;M;34;7206589
2020;Centro-Oeste;GO;HOSPITAL;30 - 39;F;53;7206589
2020;Centro-Oeste;GO;HOSPITAL;30 - 39;M;102;7206589
2020;Centro-Oeste;GO;HOSPITAL;40 - 49;F;151;7206589
2020;Centro-Oeste;GO;HOSPITAL;40 - 49;M;230;7206589
2020;Centro-Oeste;GO;HOSPITAL;50 - 59;F;278;7206589
2020;Centro-Oeste;GO;HOSPITAL;50 - 59;M;437;7206589
2020;Centro-Oeste;GO;HOSPITAL;60 - 69;F;523;7206589
2020;Centro-Oeste;GO;HOSPITAL;60 - 69;M;822;7206589
2020;Centro-Oeste;GO;HOSPITAL;70 - 79;F;692;7206589
2020;Centro-Oeste;GO;HOSPITAL;70 - 79;M;1044;7206589
2020;Centro-Oeste;GO;HOSPITAL;80 - 89;F;640;7206589
2020;Centro-Oeste;GO;HOSPITAL;80 - 89;I;2;7206589
2020;Centro-Oeste;GO;HOSPITAL;80 - 89;M;832;7206589
2020;Centro-Oeste;GO;HOSPITAL;90 - 99;F;249;7206589
2020;Centro-Oeste;GO;HOSPITAL;90 - 99;M;252;7206589
2020;Centro-Oeste;GO;HOSPITAL;< 9;F;3;7206589
2020;Centro-Oeste;GO;HOSPITAL;< 9;M;3;7206589
2020;Centro-Oeste;GO;HOSPITAL;> 100;F;26;7206589
2020;Centro-Oeste;GO;HOSPITAL;> 100;M;21;7206589
2020;Centro-Oeste;GO;HOSPITAL;N/I;F;3;7206589
2020;Centro-Oeste;GO;HOSPITAL;N/I;I;2;7206589
2020;Centro-Oeste;GO;HOSPITAL;N/I;M;2;7206589
2020;Centro-Oeste;GO;IGNORADO;20 - 29;M;1;7206589
2020;Centro-Oeste;GO;IGNORADO;30 - 39;F;1;7206589
2020;Centro-Oeste;GO;IGNORADO;30 - 39;M;2;7206589
2020;Centro-Oeste;GO;IGNORADO;40 - 49;F;2;7206589
2020;Centro-Oeste;GO;IGNORADO;40 - 49;M;3;7206589
2020;Centro-Oeste;GO;IGNORADO;50 - 59;F;2;7206589
2020;Centro-Oeste;GO;IGNORADO;50 - 59;M;5;7206589
2020;Centro-Oeste;GO;IGNORADO;60 - 69;F;4;7206589
2020;Centro-Oeste;GO;IGNORADO;60 - 69;M;5;7206589
2020;Centro-Oeste;GO;IGNORADO;70 - 79;F;4;7206589
2020;Centro-Oeste;GO;IGNORADO;70 - 79;M;8;7206589
2020;Centro-Oeste;GO;IGNORADO;80 - 89;F;11;7206589
2020;Centro-Oeste;GO;IGNORADO;80 - 89;M;6;7206589
2020;Centro-Oeste;GO;IGNORADO;90 - 99;M;2;7206589
2020;Centro-Oeste;GO;IGNORADO;> 100;M;1;7206589
2020;Centro-Oeste;GO;OUTRO;30 - 39;F;1;7206589
2020;Centro-Oeste;GO;OUTRO;30 - 39;M;3;7206589
2020;Centro-Oeste;GO;OUTRO;40 - 49;F;2;7206589
2020;Centro-Oeste;GO;OUTRO;40 - 49;M;4;7206589
2020;Centro-Oeste;GO;OUTRO;50 - 59;F;2;7206589
2020;Centro-Oeste;GO;OUTRO;50 - 59;M;5;7206589
2020;Centro-Oeste;GO;OUTRO;60 - 69;F;2;7206589
2020;Centro-Oeste;GO;OUTRO;60 - 69;M;9;7206589
2020;Centro-Oeste;GO;OUTRO;70 - 79;F;1;7206589
2020;Centro-Oeste;GO;OUTRO;70 - 79;M;12;7206589
2020;Centro-Oeste;GO;OUTRO;80 - 89;F;8;7206589
2020;Centro-Oeste;GO;OUTRO;80 - 89;M;8;7206589
2020;Centro-Oeste;GO;OUTRO;90 - 99;F;4;7206589
2020;Centro-Oeste;GO;OUTRO;90 - 99;M;7;7206589
2020;Centro-Oeste;GO;OUTROS_SERVICOS_SAUDE;10 - 19;F;1;7206589
2020;Centro-Oeste;GO;OUTROS_SERVICOS_SAUDE;20 - 29;F;2;7206589
2020;Centro-Oeste;GO;OUTROS_SERVICOS_SAUDE;20 - 29;M;3;7206589
2020;Centro-Oeste;GO;OUTROS_SERVICOS_SAUDE;30 - 39;F;12;7206589
2020;Centro-Oeste;GO;OUTROS_SERVICOS_SAUDE;30 - 39;M;11;7206589
2020;Centro-Oeste;GO;OUTROS_SERVICOS_SAUDE;40 - 49;F;18;7206589
2020;Centro-Oeste;GO;OUTROS_SERVICOS_SAUDE;40 - 49;M;40;7206589
2020;Centro-Oeste;GO;OUTROS_SERVICOS_SAUDE;50 - 59;F;33;7206589
2020;Centro-Oeste;GO;OUTROS_SERVICOS_SAUDE;50 - 59;M;53;7206589
2020;Centro-Oeste;GO;OUTROS_SERVICOS_SAUDE;60 - 69;F;57;7206589
2020;Centro-Oeste;GO;OUTROS_SERVICOS_SAUDE;60 - 69;M;94;7206589
2020;Centro-Oeste;GO;OUTROS_SERVICOS_SAUDE;70 - 79;F;69;7206589
2020;Centro-Oeste;GO;OUTROS_SERVICOS_SAUDE;70 - 79;M;109;7206589
2020;Centro-Oeste;GO;OUTROS_SERVICOS_SAUDE;80 - 89;F;61;7206589
2020;Centro-Oeste;GO;OUTROS_SERVICOS_SAUDE;80 - 89;M;82;7206589
2020;Centro-Oeste;GO;OUTROS_SERVICOS_SAUDE;90 - 99;F;24;7206589
2020;Centro-Oeste;GO;OUTROS_SERVICOS_SAUDE;90 - 99;M;34;7206589
2020;Centro-Oeste;GO;OUTROS_SERVICOS_SAUDE;< 9;F;1;7206589
2020;Centro-Oeste;GO;OUTROS_SERVICOS_SAUDE;< 9;M;1;7206589
2020;Centro-Oeste;GO;OUTROS_SERVICOS_SAUDE;> 100;F;3;7206589
2020;Centro-Oeste;GO;OUTROS_SERVICOS_SAUDE;> 100;M;3;7206589
2020;Centro-Oeste;GO;OUTROS_SERVICOS_SAUDE;N/I;M;1;7206589
2020;Centro-Oeste;GO;VIA_PUBLICA;60 - 69;M;1;7206589
2020;Centro-Oeste;GO;VIA_PUBLICA;70 - 79;F;1;7206589
2020;Centro-Oeste;GO;VIA_PUBLICA;70 - 79;M;3;7206589
2020;Centro-Oeste;GO;VIA_PUBLICA;80 - 89;F;1;7206589
2020;Centro-Oeste;GO;VIA_PUBLICA;80 - 89;M;1;7206589
2020;Centro-Oeste;GO;VIA_PUBLICA;90 - 99;F;1;7206589
2020;Centro-Oeste;GO;VIA_PUBLICA;90 - 99;M;1;7206589
2020;Centro-Oeste;MS;DOMICILIO;40 - 49;F;1;2839188
2020;Centro-Oeste;MS;DOMICILIO;40 - 49;M;2;2839188
2020;Centro-Oeste;MS;DOMICILIO;50 - 59;F;1;2839188
2020;Centro-Oeste;MS;DOMICILIO;50 - 59;M;5;2839188
2020;Centro-Oeste;MS;DOMICILIO;60 - 69;F;1;2839188
2020;Centro-Oeste;MS;DOMICILIO;60 - 69;M;2;2839188
2020;Centro-Oeste;MS;DOMICILIO;70 - 79;F;3;2839188
2020;Centro-Oeste;MS;DOMICILIO;70 - 79;M;6;2839188
2020;Centro-Oeste;MS;DOMICILIO;80 - 89;F;4;2839188
2020;Centro-Oeste;MS;DOMICILIO;80 - 89;M;6;2839188
2020;Centro-Oeste;MS;DOMICILIO;90 - 99;F;6;2839188
2020;Centro-Oeste;MS;DOMICILIO;90 - 99;M;2;2839188
2020;Centro-Oeste;MS;HOSPITAL;10 - 19;F;6;2839188
2020;Centro-Oeste;MS;HOSPITAL;20 - 29;F;7;2839188
2020;Centro-Oeste;MS;HOSPITAL;20 - 29;M;9;2839188
2020;Centro-Oeste;MS;HOSPITAL;30 - 39;F;24;2839188
2020;Centro-Oeste;MS;HOSPITAL;30 - 39;M;27;2839188
2020;Centro-Oeste;MS;HOSPITAL;40 - 49;F;57;2839188
2020;Centro-Oeste;MS;HOSPITAL;40 - 49;M;68;2839188
2020;Centro-Oeste;MS;HOSPITAL;50 - 59;F;129;2839188
2020;Centro-Oeste;MS;HOSPITAL;50 - 59;M;177;2839188
2020;Centro-Oeste;MS;HOSPITAL;60 - 69;F;206;2839188
2020;Centro-Oeste;MS;HOSPITAL;60 - 69;M;311;2839188
2020;Centro-Oeste;MS;HOSPITAL;70 - 79;F;276;2839188
2020;Centro-Oeste;MS;HOSPITAL;70 - 79;M;357;2839188
2020;Centro-Oeste;MS;HOSPITAL;80 - 89;F;232;2839188
2020;Centro-Oeste;MS;HOSPITAL;80 - 89;M;295;2839188
2020;Centro-Oeste;MS;HOSPITAL;90 - 99;F;111;2839188
2020;Centro-Oeste;MS;HOSPITAL;90 - 99;M;76;2839188
2020;Centro-Oeste;MS;HOSPITAL;< 9;F;1;2839188
2020;Centro-Oeste;MS;HOSPITAL;< 9;M;4;2839188
2020;Centro-Oeste;MS;HOSPITAL;> 100;F;17;2839188
2020;Centro-Oeste;MS;HOSPITAL;> 100;M;9;2839188
2020;Centro-Oeste;MS;HOSPITAL;N/I;M;1;2839188
2020;Centro-Oeste;MS;OUTRO;40 - 49;M;1;2839188
2020;Centro-Oeste;MS;OUTRO;50 - 59;M;2;2839188
2020;Centro-Oeste;MS;OUTRO;60 - 69;F;1;2839188
2020;Centro-Oeste;MS;OUTRO;60 - 69;M;1;2839188
2020;Centro-Oeste;MS;OUTRO;70 - 79;F;4;2839188
2020;Centro-Oeste;MS;OUTRO;70 - 79;M;2;2839188
2020;Centro-Oeste;MS;OUTRO;80 - 89;F;1;2839188
2020;Centro-Oeste;MS;OUTRO;80 - 89;M;1;2839188
2020;Centro-Oeste;MS;OUTRO;90 - 99;F;1;2839188
2020;Centro-Oeste;MS;POSTO_SAUDE;50 - 59;F;1;2839188
2020;Centro-Oeste;MS;POSTO_SAUDE;60 - 69;F;2;2839188
2020;Centro-Oeste;MS;POSTO_SAUDE;70 - 79;F;1;2839188
2020;Centro-Oeste;MS;POSTO_SAUDE;70 - 79;M;1;2839188
2020;Centro-Oeste;MS;POSTO_SAUDE;80 - 89;M;1;2839188
2020;Centro-Oeste;MS;VIA_PUBLICA;30 - 39;M;1;2839188
2020;Centro-Oeste;MS;VIA_PUBLICA;40 - 49;F;1;2839188
2020;Centro-Oeste;MS;VIA_PUBLICA;50 - 59;M;2;2839188
2020;Centro-Oeste;MS;VIA_PUBLICA;60 - 69;F;2;2839188
2020;Centro-Oeste;MS;VIA_PUBLICA;60 - 69;M;1;2839188
2020;Centro-Oeste;MS;VIA_PUBLICA;80 - 89;F;2;2839188
2020;Centro-Oeste;MT;DOMICILIO;40 - 49;F;1;3567234
2020;Centro-Oeste;MT;DOMICILIO;40 - 49;M;2;3567234
2020;Centro-Oeste;MT;DOMICILIO;50 - 59;F;2;3567234
2020;Centro-Oeste;MT;DOMICILIO;50 - 59;M;2;3567234
2020;Centro-Oeste;MT;DOMICILIO;60 - 69;F;3;3567234
2020;Centro-Oeste;MT;DOMICILIO;60 - 69;M;2;3567234
2020;Centro-Oeste;MT;DOMICILIO;70 - 79;F;5;3567234
2020;Centro-Oeste;MT;DOMICILIO;70 - 79;M;3;3567234
2020;Centro-Oeste;MT;DOMICILIO;80 - 89;F;6;3567234
2020;Centro-Oeste;MT;DOMICILIO;80 - 89;M;6;3567234
2020;Centro-Oeste;MT;DOMICILIO;90 - 99;F;1;3567234
2020;Centro-Oeste;MT;DOMICILIO;90 - 99;M;4;3567234
2020;Centro-Oeste;MT;DOMICILIO;> 100;M;1;3567234
2020;Centro-Oeste;MT;HOSPITAL;10 - 19;F;1;3567234
2020;Centro-Oeste;MT;HOSPITAL;10 - 19;M;1;3567234
2020;Centro-Oeste;MT;HOSPITAL;20 - 29;F;12;3567234
2020;Centro-Oeste;MT;HOSPITAL;20 - 29;M;11;3567234
2020;Centro-Oeste;MT;HOSPITAL;30 - 39;F;30;3567234
2020;Centro-Oeste;MT;HOSPITAL;30 - 39;M;50;3567234
2020;Centro-Oeste;MT;HOSPITAL;40 - 49;F;46;3567234
2020;Centro-Oeste;MT;HOSPITAL;40 - 49;M;108;3567234
2020;Centro-Oeste;MT;HOSPITAL;50 - 59;F;104;3567234
2020;Centro-Oeste;MT;HOSPITAL;50 - 59;M;186;3567234
2020;Centro-Oeste;MT;HOSPITAL;60 - 69;F;183;3567234
2020;Centro-Oeste;MT;HOSPITAL;60 - 69;M;277;3567234
2020;Centro-Oeste;MT;HOSPITAL;70 - 79;F;191;3567234
2020;Centro-Oeste;MT;HOSPITAL;70 - 79;M;301;3567234
2020;Centro-Oeste;MT;HOSPITAL;80 - 89;F;134;3567234
2020;Centro-Oeste;MT;HOSPITAL;80 - 89;M;228;3567234
2020;Centro-Oeste;MT;HOSPITAL;90 - 99;F;52;3567234
2020;Centro-Oeste;MT;HOSPITAL;90 - 99;M;71;3567234
2020;Centro-Oeste;MT;HOSPITAL;< 9;F;2;3567234
2020;Centro-Oeste;MT;HOSPITAL;< 9;M;4;3567234
2020;Centro-Oeste;MT;HOSPITAL;> 100;F;1;3567234
2020;Centro-Oeste;MT;HOSPITAL;> 100;M;7;3567234
2020;Centro-Oeste;MT;HOSPITAL;N/I;F;1;3567234
2020;Centro-Oeste;MT;HOSPITAL;N/I;I;1;3567234
2020;Centro-Oeste;MT;HOSPITAL;N/I;M;1;3567234
2020;Centro-Oeste;MT;IGNORADO;10 - 19;M;2;3567234
2020;Centro-Oeste;MT;IGNORADO;20 - 29;F;10;3567234
2020;Centro-Oeste;MT;IGNORADO;20 - 29;M;5;3567234
2020;Centro-Oeste;MT;IGNORADO;30 - 39;F;15;3567234
2020;Centro-Oeste;MT;IGNORADO;30 - 39;M;29;3567234
2020;Centro-Oeste;MT;IGNORADO;40 - 49;F;35;3567234
2020;Centro-Oeste;MT;IGNORADO;40 - 49;M;73;3567234
2020;Centro-Oeste;MT;IGNORADO;50 - 59;F;65;3567234
2020;Centro-Oeste;MT;IGNORADO;50 - 59;M;130;3567234
2020;Centro-Oeste;MT;IGNORADO;60 - 69;F;108;3567234
2020;Centro-Oeste;MT;IGNORADO;60 - 69;M;192;3567234
2020;Centro-Oeste;MT;IGNORADO;70 - 79;F;169;3567234
2020;Centro-Oeste;MT;IGNORADO;70 - 79;M;191;3567234
2020;Centro-Oeste;MT;IGNORADO;80 - 89;F;110;3567234
2020;Centro-Oeste;MT;IGNORADO;80 - 89;M;131;3567234
2020;Centro-Oeste;MT;IGNORADO;90 - 99;F;37;3567234
2020;Centro-Oeste;MT;IGNORADO;90 - 99;M;41;3567234
2020;Centro-Oeste;MT;IGNORADO;> 100;F;3;3567234
2020;Centro-Oeste;MT;IGNORADO;> 100;M;2;3567234
2020;Centro-Oeste;MT;OUTRO;20 - 29;F;1;3567234
2020;Centro-Oeste;MT;OUTRO;40 - 49;F;2;3567234
2020;Centro-Oeste;MT;OUTRO;40 - 49;M;2;3567234
2020;Centro-Oeste;MT;OUTRO;50 - 59;F;3;3567234
2020;Centro-Oeste;MT;OUTRO;50 - 59;M;5;3567234
2020;Centro-Oeste;MT;OUTRO;60 - 69;F;5;3567234
2020;Centro-Oeste;MT;OUTRO;60 - 69;M;1;3567234
2020;Centro-Oeste;MT;OUTRO;70 - 79;F;6;3567234
2020;Centro-Oeste;MT;OUTRO;70 - 79;M;5;3567234
2020;Centro-Oeste;MT;OUTRO;80 - 89;F;6;3567234
2020;Centro-Oeste;MT;OUTRO;80 - 89;M;7;3567234
2020;Centro-Oeste;MT;OUTRO;90 - 99;F;2;3567234
2020;Centro-Oeste;MT;OUTRO;90 - 99;M;4;3567234
2020;Centro-Oeste;MT;OUTRO;< 9;M;1;3567234
2020;Centro-Oeste;MT;OUTROS_SERVICOS_SAUDE;50 - 59;F;1;3567234
2020;Centro-Oeste;MT;OUTROS_SERVICOS_SAUDE;50 - 59;M;1;3567234
2020;Centro-Oeste;MT;OUTROS_SERVICOS_SAUDE;60 - 69;F;4;3567234
2020;Centro-Oeste;MT;OUTROS_SERVICOS_SAUDE;60 - 69;M;3;3567234
2020;Centro-Oeste;MT;OUTROS_SERVICOS_SAUDE;70 - 79;F;2;3567234
2020;Centro-Oeste;MT;OUTROS_SERVICOS_SAUDE;70 - 79;M;3;3567234
2020;Centro-Oeste;MT;OUTROS_SERVICOS_SAUDE;80 - 89;M;3;3567234
2020;Centro-Oeste;MT;OUTROS_SERVICOS_SAUDE;90 - 99;I;1;3567234
2020;Centro-Oeste;MT;OUTROS_SERVICOS_SAUDE;90 - 99;M;3;3567234
2020;Centro-Oeste;MT;OUTROS_SERVICOS_SAUDE;< 9;M;1;3567234
2020;Centro-Oeste;MT;VIA_PUBLICA;50 - 59;M;1;3567234
2020;Centro-Oeste;MT;VIA_PUBLICA;60 - 69;F;1;3567234
2020;Centro-Oeste;MT;VIA_PUBLICA;60 - 69;M;1;3567234
2020;Centro-Oeste;MT;VIA_PUBLICA;70 - 79;M;1;3567234
2020;Centro-Oeste;MT;VIA_PUBLICA;< 9;F;1;3567234
2020;Nordeste;AL;DOMICILIO;30 - 39;F;1;3365351
2020;Nordeste;AL;DOMICILIO;40 - 49;F;1;3365351
2020;Nordeste;AL;DOMICILIO;40 - 49;M;3;3365351
2020;Nordeste;AL;DOMICILIO;50 - 59;F;4;3365351
2020;Nordeste;AL;DOMICILIO;50 - 59;M;4;3365351
2020;Nordeste;AL;DOMICILIO;60 - 69;F;4;3365351
2020;Nordeste;AL;DOMICILIO;60 - 69;M;5;3365351
2020;Nordeste;AL;DOMICILIO;70 - 79;F;6;3365351
2020;Nordeste;AL;DOMICILIO;70 - 79;M;19;3365351
2020;Nordeste;AL;DOMICILIO;80 - 89;F;8;3365351
2020;Nordeste;AL;DOMICILIO;80 - 89;M;14;3365351
2020;Nordeste;AL;DOMICILIO;90 - 99;F;7;3365351
2020;Nordeste;AL;DOMICILIO;90 - 99;M;4;3365351
2020;Nordeste;AL;DOMICILIO;> 100;F;1;3365351
2020;Nordeste;AL;DOMICILIO;> 100;M;1;3365351
2020;Nordeste;AL;HOSPITAL;10 - 19;F;7;3365351
2020;Nordeste;AL;HOSPITAL;10 - 19;M;2;3365351
2020;Nordeste;AL;HOSPITAL;20 - 29;F;15;3365351
2020;Nordeste;AL;HOSPITAL;20 - 29;M;12;3365351
2020;Nordeste;AL;HOSPITAL;30 - 39;F;31;3365351
2020;Nordeste;AL;HOSPITAL;30 - 39;M;33;3365351
2020;Nordeste;AL;HOSPITAL;40 - 49;F;61;3365351
2020;Nordeste;AL;HOSPITAL;40 - 49;M;91;3365351
2020;Nordeste;AL;HOSPITAL;50 - 59;F;123;3365351
2020;Nordeste;AL;HOSPITAL;50 - 59;I;1;3365351
2020;Nordeste;AL;HOSPITAL;50 - 59;M;174;3365351
2020;Nordeste;AL;HOSPITAL;60 - 69;F;230;3365351
2020;Nordeste;AL;HOSPITAL;60 - 69;M;273;3365351
2020;Nordeste;AL;HOSPITAL;70 - 79;F;244;3365351
2020;Nordeste;AL;HOSPITAL;70 - 79;M;380;3365351
2020;Nordeste;AL;HOSPITAL;80 - 89;F;215;3365351
2020;Nordeste;AL;HOSPITAL;80 - 89;M;277;3365351
2020;Nordeste;AL;HOSPITAL;90 - 99;F;82;3365351
2020;Nordeste;AL;HOSPITAL;90 - 99;M;82;3365351
2020;Nordeste;AL;HOSPITAL;< 9;F;8;3365351
2020;Nordeste;AL;HOSPITAL;< 9;M;5;3365351
2020;Nordeste;AL;HOSPITAL;> 100;F;4;3365351
2020;Nordeste;AL;HOSPITAL;> 100;M;12;3365351
2020;Nordeste;AL;HOSPITAL;N/I;F;1;3365351
2020;Nordeste;AL;HOSPITAL;N/I;M;2;3365351
2020;Nordeste;AL;IGNORADO;70 - 79;F;1;3365351
2020;Nordeste;AL;IGNORADO;70 - 79;M;1;3365351
2020;Nordeste;AL;OUTRO;30 - 39;M;1;3365351
2020;Nordeste;AL;OUTRO;80 - 89;F;1;3365351
2020;Nordeste;AL;OUTRO;90 - 99;M;1;3365351
2020;Nordeste;AL;OUTROS_SERVICOS_SAUDE;10 - 19;M;1;3365351
2020;Nordeste;AL;OUTROS_SERVICOS_SAUDE;30 - 39;F;1;3365351
2020;Nordeste;AL;OUTROS_SERVICOS_SAUDE;30 - 39;M;1;3365351
2020;Nordeste;AL;OUTROS_SERVICOS_SAUDE;40 - 49;F;2;3365351
